,deviceName,farEndInterface,nearEndInterface,neighborDeviceName
421,CHSMC-LAS-SOUTH4-01,GigabitEthernet0,GigabitEthernet3/0/6,CHSMC-S5-04
422,WA-QDC-RW05-RB03-S01,Ethernet1/2,TenGigabitEthernet1/0/1,WA-QCDC-RW05-RB05-S93
423,WASTPMCNT-0002D-AS01,GigabitEthernet2/0/2,TenGigabitEthernet2/1/1,WASTPMCNT-0002D-AS10
424,WASTPEGNT-0001B-AS01,GigabitEthernet1/1/4,TenGigabitEthernet1/1/1,WASTPEGNT-0001B-AS10
425,AKKOIMCNT-E2251-AS01,GigabitEthernet0,GigabitEthernet2/0/45,AKKOIMCNT-2251-09
426,ORSTVMCNT-MBLCA-AS01,GigabitEthernet0,nullvalue,ORSTVMC-LCAA648
427,CA-TZMC-NBDG-001A-S01,GigabitEthernet0,nullvalue,CTAR-WP1-W1efb-WP1C26
428,CA-TZMC-EBDG-002A-S01,GigabitEthernet0,nullvalue,CTAR-RAD2-We18d-RA2E21
429,ORSTVMCNT-MBLEA-AS01,GigabitEthernet0,nullvalue,ORSTVMC-LEADEAC
430,CLDLV-DCS-CAGE5018-01-CORE,TenGigE0/0/0/3,Ethernet1/4,CLDLV-WCR-CAGE5015-02
431,WA-FHMC-ARTO-003A-S81,GigabitEthernet1/1/1,GigabitEthernet1/5/20,WAARNMPNT-IDF15-AS01
432,WA-FHMC-ARTO-003A-S81,GigabitEthernet1/0/1,GigabitEthernet1/5/19,HFAR-14-3750
433,WA-FHMC-ARTO-003A-S81,Port 1,GigabitEthernet103/2/0/15,SEP885A9202DB4E
434,WA-FHMC-ARTO-003A-S81,Port 1,GigabitEthernet103/2/0/18,SEPC0255C439102
